chain_id,pdb,uniprot,genes,location,function1,function2,species
676,2qfl.A,P0ADG4,suhB ssyA b2533 JW2517,,,glycerol-2-phosphatase activity [GO:0047954]; inositol monophosphate 1-phosphatase activity [GO:0008934]; inositol monophosphate 3-phosphatase activity [GO:0052832]; inositol monophosphate 4-phosphatase activity [GO:0052833]; lithium ion binding [GO:0031403]; magnesium ion binding [GO:0000287],1
677,2qi9.A,P06609,btuC b1711 JW1701,Cell inner membrane; Multi-pass membrane protein.,Part of the ABC transporter complex BtuCDF involved in vitamin B12 import. Involved in the translocation of the substrate across the membrane.,identical protein binding [GO:0042802]; transporter activity [GO:0005215],1
678,2qi9.C,P06611,btuD b1709 JW1699,Cell inner membrane; Peripheral membrane protein.,Part of the ABC transporter complex BtuCDF involved in vitamin B12 import. Responsible for energy coupling to the transport system. {ECO:0000255|HAMAP-Rule:MF_01005}.,ATP binding [GO:0005524]; cobalamin-transporting ATPase activity [GO:0015420]; vitamin B12 ABC transporter activity [GO:0102023],1
679,2qia.A,P0A722,lpxA b0181 JW0176,Cytoplasm.,"Involved in the biosynthesis of lipid A, a phosphorylated glycolipid that anchors the lipopolysaccharide to the outer membrane of the cell.",acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity [GO:0008780]; identical protein binding [GO:0042802],1
680,2qry.A,P31550,thiB tbpA yabL b0068 JW0067,Periplasm.,Part of the ABC transporter complex ThiBPQ involved in thiamine import. {ECO:0000269|PubMed:9535878}.,thiamine binding [GO:0030975]; thiamine pyrophosphate binding [GO:0030976],1
681,2qtc.A,P0AFG8,aceE b0114 JW0110,,"Component of the pyruvate dehydrogenase (PDH) complex, that catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2).",identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; protein homodimerization activity [GO:0042803]; pyruvate dehydrogenase (acetyl-transferring) activity [GO:0004739]; pyruvate dehydrogenase activity [GO:0004738]; thiamine pyrophosphate binding [GO:0030976],1
682,2qxf.A,P04995,sbcB cpeA xonA b2011 JW1993,,"Degrades single-stranded DNA (ssDNA) in a highly processive manner (PubMed:23609540). Also functions as a DNA deoxyribophosphodiesterase that releases deoxyribose-phosphate moieties following the cleavage of DNA at an apurinic/apyrimidinic (AP) site by either an AP endonuclease or AP lyase (PubMed:1329027). {ECO:0000269|PubMed:1329027, ECO:0000269|PubMed:23609540}.",3'-5'-exoribonuclease activity [GO:0000175]; 5'-deoxyribose-5-phosphate lyase activity [GO:0051575]; exodeoxyribonuclease I activity [GO:0008852]; magnesium ion binding [GO:0000287]; single-stranded DNA 3'-5' exodeoxyribonuclease activity [GO:0008310]; single-stranded DNA binding [GO:0003697],1
683,2qzb.A,P76537,yfeY b2432 JW2425,,,,1
684,2qzs.A,P0A6U8,glgA b3429 JW3392,,"Synthesizes alpha-1,4-glucan chains using ADP-glucose.","alpha-1,4-glucan synthase activity [GO:0033201]; glycogen (starch) synthase activity [GO:0004373]; starch synthase activity [GO:0009011]",1
685,2r19.A,P0ADV1,lptA yhbN b3200 JW3167,"Periplasm {ECO:0000255|HAMAP-Rule:MF_01914, ECO:0000269|PubMed:17056748, ECO:0000269|PubMed:18480051, ECO:0000269|PubMed:20446753}. Note=Associates with both the inner membrane and the outer membrane.","Involved in the assembly of lipopolysaccharide (LPS). Required for the translocation of LPS from the inner membrane to the outer membrane. May form a bridge between the inner membrane and the outer membrane, via interactions with LptC and LptD, thereby facilitating LPS transfer across the periplasm. {ECO:0000255|HAMAP-Rule:MF_01914, ECO:0000269|PubMed:16765569, ECO:0000269|PubMed:17056748, ECO:0000269|PubMed:18424520, ECO:0000269|PubMed:18480051, ECO:0000269|PubMed:21169485}.",glycolipid transporter activity [GO:0017089]; identical protein binding [GO:0042802]; lipopolysaccharide binding [GO:0001530],1
686,2r8o.A,P27302,tktA tkt b2935 JW5478,,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate. Thus, catalyzes the reversible transfer of a two-carbon ketol group from sedoheptulose-7-phosphate to glyceraldehyde-3-phosphate, producing xylulose-5-phosphate and ribose-5-phosphate. {ECO:0000269|PubMed:17914867, ECO:0000269|PubMed:7607225}.",manganese ion binding [GO:0030145]; thiamine pyrophosphate binding [GO:0030976]; transketolase activity [GO:0004802],1
687,2rdz.A,P0ABK9,nrfA b4070 JW4031,"Periplasm {ECO:0000269|PubMed:11863430, ECO:0000269|PubMed:7934939, ECO:0000269|PubMed:9593308}.","Catalyzes the reduction of nitrite to ammonia, consuming six electrons in the process (PubMed:9593308, PubMed:11863430, PubMed:18311941, PubMed:20629638). Has very low activity toward hydroxylamine (PubMed:11863430). Has even lower activity toward sulfite (PubMed:20629638). Sulfite reductase activity is maximal at neutral pH (By similarity). {ECO:0000250|UniProtKB:L0DSL2, ECO:0000269|PubMed:11863430, ECO:0000269|PubMed:18311941, ECO:0000269|PubMed:20629638, ECO:0000269|PubMed:9593308, ECO:0000305|PubMed:7934939}.","calcium ion binding [GO:0005509]; heme binding [GO:0020037]; nitric oxide reductase activity [GO:0016966]; nitrite reductase (cytochrome, ammonia-forming) activity [GO:0042279]",1
688,2rec.A,P0A7G6,recA lexB recH rnmB tif umuB zab b2699 JW2669,Cytoplasm.,"Required for homologous recombination and the bypass of mutagenic DNA lesions by the SOS response. Catalyzes ATP-driven homologous pairing and strand exchange of DNA molecules necessary for DNA recombinational repair. Catalyzes the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. The SOS response controls an apoptotic-like death (ALD) induced (in the absence of the mazE-mazF toxin-antitoxin module) in response to DNA damaging agents that is mediated by RecA and LexA (PubMed:22412352). {ECO:0000269|PubMed:22412352, ECO:0000269|PubMed:26845522, ECO:0000269|PubMed:7608206, ECO:0000269|PubMed:9230304}.",ATP binding [GO:0005524]; DNA-dependent ATPase activity [GO:0008094]; single-stranded DNA binding [GO:0003697],1
689,2rgk.A,P32140,yihS b3880 JW5569,,"Catalyzes the isomerization of sulfoquinovose (SQ) to 6-deoxy-6-sulfo-D-fructose (SF). In vitro, can also catalyze the interconversion of mannose, fructose and glucose, or lyxose and xylulose, but has extremely low activity with glucose. {ECO:0000255|HAMAP-Rule:MF_00998, ECO:0000269|PubMed:18328504, ECO:0000269|PubMed:24463506}.",identical protein binding [GO:0042802]; mannose isomerase activity [GO:0050089]; sulfoquinovose isomerase activity [GO:0061593],1
690,2rql.A,P0AFX0,hpf yhbH b3203 JW3170,,"During stationary phase, promotes and stabilizes dimerization of 70S ribosomes by the ribosome modulation factor (RMF), leading to the formation of inactive 100S ribosomes (PubMed:18174192). Converts immature 90S particles formed by RMF into 100S ribosomes (PubMed:16324148). Crystallization with T.thermophilus 70S ribosomes shows it binds in the channel between the head and body of the 30S subunit, where mRNA, tRNAs, initiation factors IF1 and IF3 and elongation factor G would bind; however RMF is still able to bind (PubMed:22605777). In this crystal binding of HPF induces movement of the 30S head domain away from the rest of the ribosome, presumably so they would more easily form dimers (PubMed:22605777). May also function as a potential translational inhibitor (PubMed:18174192). {ECO:0000269|PubMed:11168583, ECO:0000269|PubMed:16324148, ECO:0000269|PubMed:18174192, ECO:0000269|PubMed:19170772, ECO:0000269|PubMed:22605777}.",ribosomal small subunit binding [GO:0043024]; ribosome binding [GO:0043022],1
691,2rrk.A,P77788,nudG ynjG b1759 JW1748,,"Hydrolase with a preference for pyrimidine substrates. Has high activity with 5-methyl-dCTP, and much lower activity with CTP, dCTP, 5-hydroxy-dCTP, 2-hydroxy-dATP and 8-hydroxy-dGTP. {ECO:0000269|PubMed:11053429, ECO:0000269|PubMed:12509230, ECO:0000269|PubMed:15823026}.",hydrolase activity [GO:0016787],1
692,2rs4.A,P23869,ppiB b0525 JW0514,Cytoplasm.,PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides.,peptidyl-prolyl cis-trans isomerase activity [GO:0003755],1
693,2tpt.A,P07650,deoA tpp ttg b4382 JW4345,,"The enzymes which catalyze the reversible phosphorolysis of pyrimidine nucleosides are involved in the degradation of these compounds and in their utilization as carbon and energy sources, or in the rescue of pyrimidine bases for nucleotide synthesis.",phosphorylase activity [GO:0004645]; pyrimidine-nucleoside phosphorylase activity [GO:0016154]; thymidine phosphorylase activity [GO:0009032],1
694,2uvk.A,P39371,nanM yjhT b4310 JW5777,Periplasm {ECO:0000269|PubMed:18063573}.,"Converts alpha-N-acetylneuranimic acid (Neu5Ac) to the beta-anomer, accelerating the equilibrium between the alpha- and beta-anomers. Probably facilitates sialidase-negative bacteria to compete sucessfully for limited amounts of extracellular Neu5Ac, which is likely taken up in the beta-anomer. In addition, the rapid removal of sialic acid from solution might be advantageous to the bacterium to damp down host responses. {ECO:0000269|PubMed:18063573}.","racemase and epimerase activity, acting on carbohydrates and derivatives [GO:0016857]",1
695,2uxt.A,P26648,ftsP sufI b3017 JW2985,"Periplasm {ECO:0000255|HAMAP-Rule:MF_00915, ECO:0000269|PubMed:10593889, ECO:0000269|PubMed:19135451}. Note=Localizes to the division septum. Localization requires FtsZ, FtsQ, FtsL and FtsN.","Cell division protein that is required for growth during stress conditions. May be involved in protecting or stabilizing the divisomal assembly under conditions of stress. {ECO:0000255|HAMAP-Rule:MF_00915, ECO:0000269|PubMed:17766410}.",copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491],1
696,2uzz.A,P40874,solA b1059 JW1046,,"Catalyzes the oxidative demethylation of N-methyl-L-tryptophan. Can also use other N-methyl amino acids, including sarcosine, which, however, is a poor substrate.",flavin adenine dinucleotide binding [GO:0050660]; N-methyl-L-amino-acid oxidase activity [GO:0050131],1
697,2v03.A,P16703,cysM b2421 JW2414,,Two cysteine synthase enzymes are found. Both catalyze the same reaction. Cysteine synthase B can also use thiosulfate in place of sulfide to give cysteine thiosulfonate as a product.,cysteine synthase activity [GO:0004124]; L-cysteine desulfhydrase activity [GO:0080146]; pyridoxal phosphate binding [GO:0030170],1
698,2v3z.A,P15034,pepP b2908 JW2876,Cytoplasm.,,aminopeptidase activity [GO:0004177]; identical protein binding [GO:0042802]; manganese ion binding [GO:0030145]; metalloexopeptidase activity [GO:0008235],1
699,2v82.A,Q6BF16,dgoA yidU b4477 JW5628,,"Involved in the degradation of galactose via the DeLey-Doudoroff pathway. Catalyzes the reversible, stereospecific retro-aldol cleavage of 2-keto-3-deoxy-6-phosphogalactonate (KDPGal) to pyruvate and D-glyceraldehyde-3-phosphate. In the synthetic direction, it catalyzes the addition of pyruvate to electrophilic aldehydes with re-facial selectivity. It can use a limited number of aldehyde substrates, including D-glyceraldehyde-3-phosphate (natural substrate), D-glyceraldehyde, glycolaldehyde, 2-pyridinecarboxaldehyde, D-ribose, D-erythrose and D-threose. It efficiently catalyzes aldol addition only using pyruvate as the nucleophilic component and accepts both stereochemical configurations at C2 of the electrophile. {ECO:0000269|PubMed:17981470, ECO:0000269|PubMed:324806}.",2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity [GO:0008674],1
700,2v9l.A,P32169,rhaD rhuA b3902 JW3873,Cytoplasm.,"Catalyzes the reversible cleavage of L-rhamnulose-1-phosphate to dihydroxyacetone phosphate (DHAP) and L-lactaldehyde (PubMed:12962479). Also catalyzes the dephosphorylation of phospho-serine in vitro (PubMed:25848029). {ECO:0000269|PubMed:12962479, ECO:0000269|PubMed:25848029}.",identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; rhamnulose-1-phosphate aldolase activity [GO:0008994],1
701,2vb2.X,P77214,cusF cusX ylcC b0573 JW0562,Periplasm.,"Part of a cation efflux system that mediates resistance to copper and silver. Binds one copper per polypeptide (PubMed:11399769, PubMed:24917681). {ECO:0000269|PubMed:11399769, ECO:0000269|PubMed:24917681}.",copper chaperone activity [GO:0016531]; copper ion binding [GO:0005507]; metallochaperone activity [GO:0016530]; transition metal ion binding [GO:0046914],1
702,2vba.A,P0A953,fabB fabC b2323 JW2320,Cytoplasm.,Catalyzes the condensation reaction of fatty acid synthesis by the addition to an acyl acceptor of two carbons from malonyl-ACP. Specific for elongation from C-10 to unsaturated C-16 and C-18 fatty acids. {ECO:0000269|PubMed:3076377}.,3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315],1
703,2vec.A,P42624,yhaK b3106 JW3077,Cytoplasm {ECO:0000305|PubMed:18561187}.,"Does not have quercetin 2,3-dioxygenase activity. {ECO:0000269|PubMed:18561187}.",,1
704,2vk2.A,P39325,ytfQ b4227 JW4186,Periplasm.,,galactose binding [GO:0005534]; monosaccharide transmembrane transporter activity [GO:0015145],1
705,2vws.A,P76469,rhmA yfaU b2245 JW2239,,"Catalyzes the reversible retro-aldol cleavage of 2-keto-3-deoxy-L-rhamnonate (KDR) to pyruvate and lactaldehyde. 2-keto-3-deoxy-L-mannonate, 2-keto-3-deoxy-L-lyxonate and 4-hydroxy-2-ketoheptane-1,7-dioate (HKHD) are also reasonably good substrates, although 2-keto-3-deoxy-L-rhamnonate is likely to be the physiological substrate. {ECO:0000269|PubMed:18754683, ECO:0000269|PubMed:18754693}.",2-keto-3-deoxy-L-rhamnonate aldolase activity [GO:0106099]; aldehyde-lyase activity [GO:0016832]; nickel cation binding [GO:0016151],1
706,2vyc.A,P28629,adiA adi b4117 JW5731,Cytoplasm.,ADC can be found in two forms: biodegradative and biosynthetic. The biodegradative form may play a role in regulating pH by consuming proteins.,arginine decarboxylase activity [GO:0008792]; pyridoxal phosphate binding [GO:0030170],1
707,2w70.A,P24182,accC fabG b3256 JW3224,,"This protein is a component of the acetyl coenzyme A carboxylase complex; first, biotin carboxylase catalyzes the carboxylation of the carrier protein and then the transcarboxylase transfers the carboxyl group to form malonyl-CoA.",acetyl-CoA carboxylase activity [GO:0003989]; ATP binding [GO:0005524]; biotin carboxylase activity [GO:0004075]; metal ion binding [GO:0046872],1
708,2w8b.A,P0A855,tolB b0740 JW5100,"Periplasm {ECO:0000255|HAMAP-Rule:MF_00671, ECO:0000269|PubMed:2687247, ECO:0000269|PubMed:7929011}. Note=Partially associated with the outer membrane through a specific interaction with Pal (PubMed:7744736). Accumulates at cell constriction sites. Recruitment to the division site is dependent on FtsN activity (PubMed:17233825). {ECO:0000269|PubMed:17233825, ECO:0000269|PubMed:7744736}.","Part of the Tol-Pal system, which plays a role in outer membrane invagination during cell division and is important for maintaining outer membrane integrity (PubMed:17233825). TolB occupies a key intermediary position in the Tol-Pal system because it communicates directly with both membrane-embedded components, Pal in the outer membrane and TolA in the inner membrane (PubMed:19696740). Is also involved in the uptake of some colicins A (PubMed:2687247, PubMed:7929011, PubMed:11994151). The Tol-Pal system is also required for polar localization of chemoreceptors clusters (PubMed:24720726). {ECO:0000269|PubMed:11994151, ECO:0000269|PubMed:17233825, ECO:0000269|PubMed:19696740, ECO:0000269|PubMed:24720726, ECO:0000305|PubMed:2687247, ECO:0000305|PubMed:7929011}.",protein-containing complex binding [GO:0044877]; protein domain specific binding [GO:0019904],1
